"fairelec","contrib","concede","equalvote","turnout","equalrights","speech","protest","media","limits","judicial","facts","vote","rating"
NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,"Abstained",46
NA,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,"Trump",80
NA,NA,NA,NA,NA,3,NA,4,4,NA,NA,NA,"Trump",20
4,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Abstained",50
4,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,"Trump",54
NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,"Harris",81
NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA,1,"Harris",74
4,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,"Harris",75
NA,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",80
NA,NA,NA,4,NA,NA,NA,2,4,NA,4,4,"Trump",25
NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,"Abstained",50
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Abstained",70
NA,NA,2,NA,3,NA,NA,NA,NA,NA,4,NA,"Trump",70
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",71
NA,NA,NA,NA,NA,NA,NA,4,4,NA,4,NA,"Trump",72
NA,4,2,NA,NA,NA,4,NA,NA,NA,NA,NA,"Trump",95
NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,"Abstained",65
NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,"Harris",42
NA,1,NA,4,NA,NA,NA,3,NA,4,NA,4,"Trump",71
NA,NA,2,NA,NA,NA,3,NA,NA,4,3,3,"Trump",70
NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",50
NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,"Harris",16
4,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,"Trump",40
4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"Abstained",98
4,NA,NA,4,3,NA,NA,NA,NA,4,NA,NA,"Harris",71
NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"Abstained",50
NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,"Other",48
NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,4,"Trump",38
NA,NA,NA,NA,3,NA,NA,NA,NA,NA,4,NA,"Harris",50
1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Trump",5
NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,4,"Harris",40
NA,4,2,NA,NA,NA,4,NA,NA,NA,NA,NA,"Harris",100
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,"Abstained",70
NA,NA,3,NA,NA,NA,NA,NA,2,3,NA,NA,"Harris",50
2,NA,NA,NA,NA,3,1,NA,1,NA,NA,NA,"Abstained",0
3,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,"Harris",80
NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,4,"Other",20
4,NA,NA,4,NA,NA,NA,NA,3,NA,4,2,"Harris",51
NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,NA,"Harris",50
4,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"Abstained",82
NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,2,"Harris",50
NA,3,NA,NA,4,4,4,NA,NA,NA,NA,NA,"Abstained",56
NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,"Trump",95
NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,4,"Harris",50
NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,"Trump",92
NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,"Harris",74
NA,3,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,"Trump",60
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,"Harris",95
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",30
NA,2,NA,NA,NA,3,2,NA,NA,NA,NA,NA,"Abstained",60
NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,"Trump",65
NA,1,2,NA,NA,NA,NA,NA,NA,3,NA,3,"Abstained",50
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",53
NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,3,"Abstained",39
NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,4,"Harris",61
NA,2,NA,2,NA,NA,NA,NA,2,NA,NA,2,"Abstained",50
NA,NA,NA,NA,NA,4,NA,4,4,NA,NA,NA,"Other",89
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",39
4,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,"Harris",50
2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abstained",52
NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,"Trump",57
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",24
NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"Abstained",49
NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,4,"Harris",43
NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Harris",10
NA,NA,NA,NA,3,NA,NA,NA,NA,NA,4,NA,"Trump",85
NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,"Harris",50
NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Harris",77
NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,"Harris",57
NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,"Trump",80
NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,"Harris",67
NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,4,"Harris",25
NA,NA,3,NA,NA,NA,4,NA,NA,NA,3,NA,"Harris",88
4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",51
NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Trump",75
NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,4,"Harris",70
NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,1,"Abstained",47
NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"Abstained",67
NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,3,"Harris",35
4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,"Harris",80
NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,3,"Harris",50
NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,"Trump",89
NA,NA,2,NA,NA,NA,2,NA,NA,NA,4,3,"Trump",46
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",70
NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Harris",49
NA,NA,4,NA,4,NA,NA,NA,NA,NA,4,NA,"Harris",90
NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,3,"Harris",40
NA,3,2,NA,NA,NA,3,NA,NA,NA,NA,3,"Trump",89
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"Harris",100
2,NA,1,NA,NA,NA,2,NA,NA,NA,NA,2,"Trump",51
NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Abstained",8
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,"Harris",32
NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,"Harris",50
NA,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,"Trump",84
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Trump",60
NA,1,NA,4,NA,NA,NA,NA,4,NA,4,NA,"Harris",80
NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,"Harris",44
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abstained",36
NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,"Harris",54
NA,NA,NA,NA,NA,NA,3,3,NA,NA,4,NA,"Trump",72
NA,NA,NA,NA,NA,NA,3,3,2,NA,3,NA,"Trump",93
NA,3,NA,NA,NA,NA,NA,3,NA,NA,3,NA,"Trump",72
NA,1,NA,NA,3,NA,NA,NA,NA,3,NA,NA,"Other",48
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Harris",30
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Harris",67
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,"Trump",60
NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",51
4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,"Trump",70
4,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,"Abstained",100
NA,NA,1,3,NA,NA,NA,NA,NA,3,NA,NA,"Abstained",31
NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Abstained",20
3,NA,NA,4,2,NA,NA,NA,NA,3,NA,NA,"Abstained",49
NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",32
4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"Trump",35
4,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,"Harris",7
4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",81
NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,"Harris",70
4,NA,NA,NA,NA,NA,4,NA,4,NA,NA,4,"Harris",49
4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"Harris",60
NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Abstained",41
4,NA,2,NA,NA,NA,NA,NA,4,NA,NA,NA,"Harris",85
NA,NA,NA,3,NA,3,NA,NA,3,3,NA,NA,"Trump",58
NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,3,"Harris",89
NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,"Abstained",61
NA,NA,3,NA,NA,NA,3,NA,NA,2,NA,NA,"Harris",47
NA,NA,NA,4,NA,NA,NA,NA,NA,NA,4,NA,"Harris",40
NA,3,3,NA,NA,NA,2,NA,NA,NA,NA,3,"Trump",0
NA,2,3,4,NA,4,NA,NA,NA,NA,3,NA,"Harris",100
4,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,"Trump",61
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Trump",71
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Harris",97
NA,NA,NA,NA,NA,NA,NA,3,2,4,NA,NA,"Harris",62
NA,NA,4,2,NA,NA,NA,NA,NA,4,NA,3,"Trump",60
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,"Abstained",32
NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,"Trump",86
NA,NA,NA,NA,3,NA,NA,NA,NA,4,4,NA,"Harris",98
4,NA,NA,NA,NA,4,NA,NA,NA,3,NA,NA,"Trump",74
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",41
NA,NA,3,NA,3,NA,NA,NA,NA,4,NA,NA,"Trump",91
NA,NA,NA,4,NA,NA,NA,NA,4,4,NA,NA,"Trump",90
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Trump",58
NA,NA,NA,NA,NA,4,NA,NA,NA,NA,3,3,"Trump",94
NA,NA,NA,NA,NA,4,NA,NA,4,NA,2,NA,"Trump",39
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",82
NA,NA,4,NA,NA,NA,4,NA,3,4,NA,NA,"Harris",52
NA,NA,NA,4,NA,NA,4,4,NA,NA,NA,NA,"Harris",48
NA,3,NA,4,NA,NA,NA,NA,NA,3,NA,NA,"Harris",60
4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",74
NA,3,NA,4,NA,NA,4,NA,NA,NA,4,NA,"Trump",80
NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,"Trump",47
NA,NA,NA,NA,NA,2,NA,4,NA,NA,4,NA,"Abstained",38
NA,NA,NA,NA,4,NA,NA,4,NA,4,NA,NA,"Trump",80
4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,"Abstained",70
NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,"Abstained",64
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Harris",62
NA,NA,NA,NA,4,NA,3,NA,NA,2,NA,NA,"Harris",70
3,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,"Trump",68
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Harris",50
NA,NA,NA,NA,2,4,NA,NA,4,NA,4,NA,"Trump",75
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abstained",90
NA,4,NA,NA,4,NA,NA,4,NA,NA,NA,NA,"Harris",50
NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,"Abstained",50
NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,3,"Harris",90
NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,"Trump",75
NA,NA,NA,4,3,NA,NA,4,NA,4,NA,NA,"Harris",81
NA,2,NA,NA,NA,4,NA,NA,NA,NA,NA,3,"Harris",80
3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"Abstained",72
NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Trump",20
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,"Harris",62
3,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,"Harris",80
4,NA,3,NA,3,NA,NA,4,NA,NA,NA,NA,"Trump",90
NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",80
NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,"Harris",80
NA,NA,NA,NA,NA,NA,3,NA,3,4,3,NA,"Harris",74
NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,"Trump",83
NA,NA,NA,4,NA,4,NA,NA,4,NA,NA,NA,"Trump",80
NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,"Harris",71
NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,NA,"Harris",88
NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,"Trump",79
NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,"Harris",23
NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,"Other",42
NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,"Abstained",69
4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abstained",68
4,2,NA,NA,NA,NA,NA,NA,NA,4,3,NA,"Trump",100
NA,NA,NA,3,NA,NA,4,NA,2,NA,NA,NA,"Harris",54
NA,NA,2,4,NA,4,NA,4,NA,4,NA,NA,"Other",80
NA,3,NA,3,NA,NA,NA,NA,NA,NA,3,3,"Abstained",50
NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,"Harris",70
NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,"Abstained",80
NA,NA,NA,4,NA,NA,4,NA,NA,4,NA,4,"Abstained",77
4,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,"Trump",80
4,NA,NA,NA,NA,NA,NA,NA,3,4,3,NA,"Harris",44
NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,NA,"Abstained",2
NA,4,NA,NA,NA,NA,NA,4,4,NA,NA,NA,"Trump",46
NA,NA,NA,4,NA,NA,NA,NA,NA,4,4,NA,"Trump",85
NA,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"Harris",66
3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,3,"Trump",50
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"Harris",60
NA,NA,NA,4,3,NA,NA,NA,NA,NA,2,NA,"Trump",48
NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,"Trump",65
NA,NA,2,4,NA,NA,NA,NA,NA,1,NA,NA,"Harris",40
NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,3,"Trump",60
NA,NA,2,NA,NA,2,3,NA,NA,NA,NA,NA,"Abstained",54
NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,"Abstained",16
NA,NA,4,NA,NA,NA,3,NA,NA,4,4,NA,"Abstained",10
NA,NA,4,4,NA,4,NA,NA,3,NA,NA,NA,"Harris",50
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,"Harris",45
NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Harris",84
NA,2,NA,NA,1,NA,NA,3,NA,NA,NA,NA,"Abstained",41
NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,"Abstained",53
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Harris",91
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"Trump",94
NA,3,3,NA,2,NA,NA,4,3,NA,3,NA,"Other",86
NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",78
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Abstained",37
NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,4,"Abstained",70
NA,2,NA,NA,NA,NA,2,3,NA,2,NA,NA,"Trump",63
NA,4,NA,NA,NA,NA,4,NA,NA,4,NA,NA,"Harris",64
NA,NA,2,NA,NA,NA,3,NA,NA,NA,3,NA,"Abstained",85
NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",50
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Abstained",3
NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",60
NA,NA,NA,NA,NA,NA,4,2,2,NA,NA,NA,"Abstained",68
4,NA,3,NA,NA,NA,4,NA,NA,NA,4,NA,"Other",38
NA,NA,2,NA,NA,NA,2,NA,1,NA,NA,NA,"Abstained",62
NA,NA,NA,NA,NA,3,3,NA,4,NA,NA,NA,"Harris",77
NA,NA,NA,NA,NA,NA,4,4,NA,3,4,NA,"Trump",10
NA,NA,NA,NA,NA,4,3,NA,4,3,NA,NA,"Harris",50
4,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"Abstained",49
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Trump",30
NA,NA,NA,NA,4,4,NA,4,NA,NA,NA,NA,"Trump",95
NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,4,"Harris",90
4,NA,NA,4,NA,NA,NA,3,NA,3,NA,4,"Trump",10
NA,2,NA,NA,NA,NA,NA,2,NA,NA,3,NA,"Trump",74
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"Harris",60
NA,NA,3,4,NA,NA,NA,NA,NA,3,NA,NA,"Harris",53
NA,2,2,NA,NA,NA,3,1,NA,1,NA,NA,"Abstained",50
4,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,"Harris",74
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",0
NA,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,"Harris",40
NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Harris",100
NA,2,NA,NA,NA,NA,NA,2,NA,2,NA,NA,"Abstained",0
NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,"Trump",71
NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"Harris",80
NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,4,"Harris",81
NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"Harris",60
NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,"Harris",75
2,NA,NA,NA,NA,2,NA,NA,NA,3,NA,3,"Abstained",62
NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,"Other",50
NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",50
NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,"Harris",61
4,NA,NA,NA,NA,NA,4,3,NA,3,NA,NA,"Other",76
NA,2,NA,NA,NA,NA,NA,NA,2,3,NA,NA,"Abstained",46
4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"Harris",41
2,2,NA,NA,NA,NA,NA,2,NA,NA,3,NA,"Trump",70
3,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,"Trump",87
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",34
NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,"Trump",87
NA,NA,3,4,NA,4,4,NA,NA,NA,NA,NA,"Trump",76
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",50
4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"Trump",70
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"Trump",6
NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",80
NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,"Trump",50
NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,"Trump",79
NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4,"Harris",85
NA,NA,4,NA,NA,3,NA,3,2,NA,NA,NA,"Harris",40
NA,3,NA,NA,NA,NA,NA,4,NA,3,NA,NA,"Harris",72
NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,"Harris",96
NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,"Trump",69
NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",60
NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",99
NA,NA,NA,NA,NA,NA,4,NA,NA,3,NA,4,"Harris",71
NA,NA,NA,4,NA,NA,NA,NA,4,NA,2,NA,"Harris",37
NA,NA,4,NA,NA,NA,2,NA,NA,4,3,NA,"Harris",49
NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,"Trump",50
NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,"Harris",30
NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,"Trump",59
4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",63
NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,4,"Harris",99
NA,NA,4,NA,NA,3,NA,3,NA,4,NA,NA,"Harris",70
NA,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,"Trump",2
3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Other",80
NA,2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,"Abstained",61
NA,NA,NA,4,4,NA,NA,4,NA,NA,NA,NA,"Harris",40
NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,"Abstained",72
NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,"Harris",49
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Trump",92
NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,"Abstained",80
NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,"Abstained",78
NA,NA,2,NA,NA,NA,NA,NA,NA,4,4,NA,"Trump",85
4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,"Trump",39
NA,NA,NA,4,NA,NA,NA,NA,2,NA,4,3,"Abstained",61
NA,3,NA,NA,NA,NA,3,NA,3,4,NA,NA,"Trump",65
NA,NA,1,4,NA,NA,NA,4,NA,NA,NA,NA,"Harris",50
3,NA,4,4,NA,NA,NA,NA,NA,NA,NA,3,"Abstained",62
NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,3,"Trump",64
NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,"Trump",81
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",50
3,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,"Harris",51
NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,NA,"Trump",82
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Abstained",85
NA,NA,4,4,3,NA,NA,4,NA,3,4,NA,"Harris",100
4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",96
3,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,"Abstained",50
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Trump",40
NA,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,"Harris",65
4,NA,NA,NA,3,4,4,NA,NA,NA,NA,NA,"Harris",46
NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",75
NA,4,NA,NA,NA,NA,NA,NA,NA,4,2,NA,"Trump",70
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",40
1,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,"Harris",49
4,3,3,NA,3,NA,4,4,NA,NA,NA,NA,"Abstained",61
NA,NA,NA,NA,NA,NA,4,4,NA,4,4,NA,"Trump",99
NA,NA,NA,NA,3,4,NA,4,NA,NA,NA,NA,"Trump",76
4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,"Trump",81
4,2,NA,NA,NA,NA,3,NA,NA,NA,2,3,"Trump",42
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",42
NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",73
NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,"Trump",80
NA,NA,NA,4,NA,NA,NA,NA,NA,NA,4,NA,"Harris",61
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"Trump",75
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Harris",68
NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,"Trump",5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abstained",44
NA,NA,NA,4,4,NA,4,NA,1,NA,NA,NA,"Trump",100
NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,"Harris",49
NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,"Harris",29
4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,"Trump",60
NA,NA,4,NA,2,NA,NA,NA,4,NA,NA,NA,"Abstained",65
4,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,"Trump",79
NA,NA,NA,NA,3,3,NA,NA,4,NA,NA,3,"Harris",50
NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,"Trump",81
NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,"Trump",36
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",43
NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,4,"Harris",53
NA,NA,NA,NA,4,NA,NA,NA,NA,NA,3,NA,"Abstained",81
NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,2,"Trump",86
2,NA,NA,NA,3,NA,NA,3,NA,NA,3,NA,"Abstained",50
4,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,"Harris",34
NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,"Other",66
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Harris",100
NA,3,NA,NA,NA,4,NA,NA,NA,3,NA,NA,"Trump",75
