Country,Year_1,Month_1,type,Event Category,EventDescription
Bangladesh,2014,NA,Symptom,No-confidence votes or decreased voter turnout,Voter turnout fell from 87 percent in the 2008 election to a mere 22 percent.
Bangladesh,2014,NA,Symptom,Repression of the opposition,"The Awami League deployed numerous special forces who arrested, executed, and disappeared thousands of members of the opposition in a systematic, extrajudicial process."
Bangladesh,2015,January,Resistance,Nonviolent protest,"The opposition organized mass blockades of roads, railways, and waterways that ultimately paralyzed the country and sparked further crackdowns on the opposition."
Bangladesh,2015,NA,Destabilizing Event,Non-state violence,Several bloggers and members of the press critical of Islamic extremist groups were murdered by the extremist groups.
Bangladesh,2015,NA,Symptom,Media repression,"The government temporarily shut down Facebook and other social media sites in 2015, fearing uprisings among citizens and opposition leaders."
Bangladesh,2016,February,Symptom,Media repression,Daily Star editor Mahfuz Anam was charged in 79 cases of defamation and sedition after admitting that his paper had published claims of corruption against Prime Minister Sheikh Hasina were not independently verified.
Bangladesh,2016,October,Precursor,Increasing control over civil society,The 2016 Foreign Donations (Voluntary Activities) Regulation Act gave the Bangladeshi government broad authority to restrict the activities of NGOs in Bangladesh.
Bangladesh,2016,NA,Symptom,Curtailed civil liberties,The Rohingya refugees were subjected to inhumane conditions and had extremely limited access to the Bangladeshi justice system.
Bangladesh,2017,January,Symptom,Media repression,"A journalist was killed, 24 were injured, 9 were assaulted, and 11 were threatened."
Bangladesh,2017,May,Symptom,Repression of the opposition,Police raided the political office of the Bangladesh National Party Chairperson and searched the office of the Communist Party and arrested and tortured their leaders.
Bangladesh,2017,July,Resistance,Nonviolent protest,There were protests in response to the arrest of a reporter for an anti-Awami League Facebook post.
Bangladesh,2017,October,Symptom,Forced/coerced exile,"Chief Justice Surendra Kumar Sinha fled Bangladesh in October 2017 after the government tried to empower itself to impeach justices, an attempt thwarted by the judiciary."
Bangladesh,2017,November,Symptom,Reduction in judicial independence,"The government threatened to harm Chief Justice Surendra Kumar Sinha after the Supreme Court rejected a constitutional amendment that would have let the ruling party dismiss judges more easily, forcing Justice Sinha to resign and flee in exile to the United States or face corruption charges."
Bangladesh,2017,December,Symptom,Weakened civil service or integrity institutions,"While investigating a corruption case against BASIC Bank, the Anti-Corruption Commission (AAC) refrained from investigating the Chairman of the Managing Committee, Sheikh Abdul Hye Bacchu, because of his ties to the government."
Bangladesh,2017,December,Symptom,Weakened civil service or integrity institutions,"The Anti-Corruption Commission (AAC) have taken action against multiple banks with ties to the Bangladesh National Party, but not against any banks with ties to the Awami League."
Bangladesh,2017,Unknown,Destabilizing Event,Refugee crisis,"Since 2017, 745,000-1.1 million Rohingya refugees have fled to Bangladesh from neighboring Myanmar, though they face discrimination and lack of basic necessities in Bangladesh."
Bangladesh,2017,Unknown,Symptom,Discrimination against minorities,Bangladesh has resisted efforts to integrate Rohingya refugees into the country and has tried their best to repatriate them back to Myanmar.
Bangladesh,2017,NA,Symptom,Repression of the opposition,The government oppressed opposition parties by banning gatherings of more than 5 people.
Bangladesh,2018,January,Precursor,State-conducted violence or abuse,Extrajudicial killings against the opposition has contributed greatly to the erosion of democracy.
Bangladesh,2018,February,Symptom,Repression of the opposition,Opposition ledaer Khaleda Zia was jailed for five years on corruption charges and banned from running in future elections in what has been called a targeted prosecution
Bangladesh,2018,February,Symptom,Repression of the opposition,"3,500 opposition protesters were detained, as well as several senior leaders in the Bangladesh National Party."
Bangladesh,2018,May,Symptom,Curtailed civil liberties,The government cracked down on drug use and suspects are detained and charged in an extra-judicial manner.
Bangladesh,2018,August,Resistance,Nonviolent protest,Protests that broke out after two students were killed by a bus eventually grew over nine days to represent broad disapproval of the state of their community.
Bangladesh,2018,August,Symptom,Media repression,"Under the Information Communication Act, the government prosecuted several journalists covering the protests and ordered cellular companies to limit internet access to 2G levels, preventing sharing on social media by protests and journalists."
Bangladesh,2018,August,Symptom,Media repression,World-renowned reporter Shahidul Alam was arrested and tortured in custody after giving an interview against the government regarding their handling of protests.
Bangladesh,2018,September,Symptom,Repression of the opposition,"Three months before the election, the Awami League-led government had arrested more than 3,500 members of the opposition Bangladesh National Party in an effort to weaken them."
Bangladesh,2018,October,Symptom,Media repression,Opposition ledaer Khaleda Zia was sentenced to a further seven yeas in prison for receiving unregulated funds when serving as prime minister.
Bangladesh,2018,October,Symptom,Curtailed civil liberties,"The Digital Security Act came into effect, making it easier for the government to punish those who criticized it online"
Bangladesh,2018,November,Symptom,Repression of the opposition,"Since the Bangladesh Awami League (BAL) took power in 2011, they have targeted members of the opposition with dubious charges, preventing them from competing in future elections. In 2018, more than 10,000 members of the opposition were arrested in the months leading up to the election."
Bangladesh,2018,November,Symptom,Media repression,"In November 2018, the Bangladesh government passed the Digital Security Act that enabled them to crack down on media dissent."
Bangladesh,2018,December,Precursor,Electoral fraud and voter suppression,"The 2018 Bangladesh elections were rife with voter intimidation, violence, and fraud, including allegations that ballot boxes at a polling place were filled immediately after polls opened and opposition supporters were barred from entering polls. The election returned a landslide victory for the incumbent Awami League, which won 288 of 300 parliamentary seats available."
Bangladesh,2018,December,Precursor,Electoral violence,"Widespread election violence between supporters of the Bangladesh National Party and the Awami League have led to election irregularities and voter intimidation. BNP officials claim 12,923 BNP supporters were injured in clashes, and 18 people were killed."
Bangladesh,2018,December,Symptom,Candidate selection,"By disqualifying BNP candidates, the AL solidified their hold on office and prevented a real contested election."
Bangladesh,2018,December,Symptom,Repression of the opposition,Bangladesh National Party candidates and supporters were systematically harrassed and repressed to the point that many supporters have decided to campaign for the Awami League out of fear.
Bangladesh,2018,December,Symptom,Repression of the opposition,The Daily Star reported that 56 opposition candidates had been attacked and that over 800 had been arrested.
Bangladesh,2018,December,Symptom,Repression of the opposition,"47 candidates from the opposition withdrew before polling closed, alleging vote rigging and intimidation from the Awami League."
Bangladesh,2018,NA,Symptom,Reduction in judicial independence,"Party leaders frequently make appointments to judiciary positions and witnesses are commonly harassed. Through the Special Powers Act, the ruling party arbitrarily detains many members of the opposition party without charges and without a warrant. There are reports of arbitrary arrests, bribes, and physical abuse, and any criminal cases brought against the ruling party are consistently withdrawn."
Bangladesh,2019,October,Precursor,Polarization,"Political polarization has led to political violence between supporters of the different parties and their political opponents, with the yuoth wings of the Awami League killing a fellow student for his criticism."
Bangladesh,2019,Unknown,Precursor,Electoral fraud and voter suppression,Electoral fraud and voter suppression by the AL against the BNP remained a problem in local elections in 2019.
Bangladesh,2020,March,Symptom,Media repression,"In March 2020, 32 people, including newspaper editors and journalists, were charged for allegeldly publishing a false report exposing a government official's smuggling of counterfeit bills."
Bangladesh,2020,March,Symptom,Reduction in judicial independence,"A judge in the Pirojpur district, after denying bail to an Awami League district party president facing multiple corruption charges, was transferred."
Bangladesh,2020,May,Symptom,Media repression,Political cartoonist Mushtaq Ahmed was arrested for violating the Digital Security Act and died in police custody in February 2021.
Bangladesh,2020,May,Symptom,Discrimination against minorities,"The Bangladesh government relocated 20,000 Rohingya refugees to the small island of Bhasan Char without the proper resources or facilities to house them."
Bangladesh,2020,May,Precursor,State-conducted violence or abuse,A cartoonist was tortured after being arrested in May 2020 for his cartoons against the government response to COVID.
Bangladesh,2020,December,Precursor,State-conducted violence or abuse,Bangladesh police violently suppressed a peaceful strike outsidde the National Press Club in Dhaka.
Bangladesh,2020,December,Resistance,Nonviolent protest,Factory workers and teachers staged a sit-in at the National Press Club in Dhaka.
Bangladesh,2020,Unknown,Precursor,Electoral fraud and voter suppression,Electoral fraud and voter suppression by the AL against the BNP remained a problem in local elections in 2020.
Bangladesh,2021,February,Resistance,Pressure from outside actor,13 OECD countries expressed concern about the death of a dissident writer in goverment custody.
Bangladesh,2021,February,Precursor,State-conducted violence or abuse,Writer Mushtaq Ahmed died in prison after being charged with violating the Digital Security Act; he had posted criticism of the government on Facebook
Bangladesh,2021,March,Symptom,Curtailed civil liberties,"A minor was arrested for allegedly defaming premiers, a serious curtailing of the freedom of speech, especially against a minor."
Bangladesh,2021,March,Symptom,Curtailed civil liberties,The systematic denial of bail to political critics is a denial of civil liberties that enpowers forced detentions by the state.
Bangladesh,2021,March,Symptom,Media repression,Police and demonstrators injured at least 17 journalists covering Indian PM Modi's visit to Bangladesh.
Bangladesh,2021,March,Precursor,State-conducted violence or abuse,"Police units suppressed a protest with disproportionate force, killing 4 protestors."
Bangladesh,2021,March,Resistance,Nonviolent protest,300 people protested at Dhaka University in March 2021 for the repeal of the Digital Security Act after a political cartoonist died in prison for violating the act.
Bangladesh,2021,March,Precursor,State-conducted violence or abuse,Members of the Awami League?the ruling political party?injured at least 17 journalists who were covering protests against Indian Prime Minister Narendra Modi's visit
Bangladesh,2021,March,Destabilizing Event,Non-state violence,"After Indian Prime Minister Narendra Modi visited the country, members of hardline Islamist groups attacked and vandalized several Hindu temples, as well as a train"
Bangladesh,2021,April,Precursor,State-conducted violence or abuse,Bangladesh security forces arrested and physically assaulted a dozen refugees as they tried to leave Bhasan Char.
Bangladesh,2021,May,Symptom,Media repression,"During the COVID pandemic, journalists who have attempted to investigate the misappropriation of funds and unauthorized contracts with medical equipment suppliers were arrested and detained."
Bangladesh,2021,May,Symptom,Media repression,Journalist Rozina Islam was detained and charged with violating a colonial-era secrecy law after allegedly taking photos of government documents while meeting with Health Ministry officials. Islam had previously exposed graft in relation to COVID health supply procurement.
Bangladesh,2021,June,Resistance,Nonviolent protest,The Rohingya refugees protested for better living conditions.
Bangladesh,2021,November,Precursor,Electoral boycott,"The Bangladesh National Party again boycotted the 2021 rural council election, all but ensuring an Awami League victory."
Bangladesh,2021,November,Symptom,Reduction in judicial independence,"In November 2021, the Awami League controlled judiciary sentenced former Chief Justice Surendra Kumar Sinha in absentia on corruption charges."
Bangladesh,2021,November,Precursor,Electoral fraud and voter suppression,Electoral fraud and voter suppression by the AL against the BNP remained a problem in local elections in 2021.
Bangladesh,2021,November,Symptom,Repression of the opposition,Armed groups supporting their party are thrteatening and inflicting violence during elections.
Bangladesh,2021,November,Resistance,Nonviolent protest,BNP members staged nonviolent protest to allow the jailed BNP leader Khaleda Zia seek health treatment abroad.
Bangladesh,2021,December,Resistance,Pressure from outside actor,The US levied sanctions against Bangladesh's Rapid Action Battalion for human rights abuses.
Bangladesh,2022,February,Resistance,Nonviolent protest,"In February 2022, university students led protests against the police use of tear gas and batons on student protestors at Shahjalala University of Science and Technology."
Belarus,2004,October,Symptom,Relaxation of term limits,"In an October 2004 referendum, Belarusian voters approved a measure put forward by President Alexander Lukashenko to run for a third term despite being constitutionally term limited."
Belarus,2010,December,Symptom,Repression of the opposition,"With 7 of 9 candidates along with many protestors arrested in the aftermath of the 2010 election, the Lukashenko government seeks to diminish the political power of the opposition and eliminate threats to his rule."
Belarus,2017,February,Resistance,Nonviolent protest,"Nonviolent protests against the ""parasite tax"" eventually led to its repeal."
Belarus,2017,March,Symptom,Curtailed civil liberties,"In response to protests against the so called ""Parasite Tax"" in February and March of 2017, the Lukashenko government has restricted the freedom of assembly."
Belarus,2017,March,Symptom,Curtailed civil liberties,"Many of those arrested in the 2017 protests were convicted in summary trials, with their legal representation also under attack and facing disbarrment or delayed accreditation."
Belarus,2017,March,Symptom,Media repression,"Journlists covering the 2017 protests were subject to arrests and harassment, including those accredited by foreign news outlets."
Belarus,2017,September,Destabilizing Event,External influence or Invasion,Russian influence is key to propping up the Lukashenko regime despite their increasing authoritarian tactics amid opposition from the Belarusian people.
Belarus,2018,February,Symptom,Candidate selection,"By preventing opposition candidates from registering, the Lukashenko government effectively limits the opposition through candidate selection."
Belarus,2018,May,Resistance,Nonviolent protest,Protests against the opening of a restaurant near the site of Stalinist repressions represents continuing opposition and cognizance in Belarus of past authoritarianism.
Belarus,2018,May,Symptom,Curtailed civil liberties,Protestors protesting the opening of a restaurant on the site of major Stalinist repressions were subject to arrests.
Belarus,2018,June,Symptom,Media repression,"A new law was passed that allowed prosecution of those who are deemed to be spreading misinformation, adding another tool for media repression by the Lukashenko government."
Belarus,2018,August,Symptom,Media repression,Harrassing and persecuting acts by the Lukashenko government against independent journalists are extensions of his efforts to undermine media that report unfavorable stories.
Belarus,2018,December,Symptom,Media repression,Amendments to the media law mandated bureaucratic registration requirements on online media outlets.
Belarus,2018,Unknown,Symptom,Media repression,The attempts to recruit informants from independent media to spy on journalists represents an effort to repress media freedoms.
Belarus,2019,March,Symptom,Media repression,"Independent journalist Marina Zolotoya and her news outlet faced harassment, fines, detention, and criminal detention."
Belarus,2019,April,Symptom,Media repression,Independent online television station Belsat had their offices raided in apparent retaliation for their investigation into a 2018 corruption case.
Belarus,2019,November,Symptom,Repression of the opposition,"The Lukashenko government systematically prevents opposition candidates from running by disqualifying them from the ballot, ensuring only loyalists are elected through candidate selection."
Belarus,2019,November,Symptom,Repression of the opposition,The only two members of the National Assembly previously unaffiliated with Lukashenko were kept off the ballot and thus not reelected.
Belarus,2019,November,Precursor,Electoral fraud and voter suppression,"Not only was the election held more than a year early, but reported ballot stuffing ensured only Lukashenko's approved candidates won election."
Belarus,2019,November,Symptom,Candidate selection,Candidates from opposition parties were almost completely blocked from sitting on electoral commissions.
Belarus,2020,May,Resistance,Nonviolent protest,Protests occurring before and after the 2020 election called for Lukashenko's ouster and new elections following the fraudulent 2020 elections.
Belarus,2020,June,Resistance,Pressure from outside actor,Many Western countries have levied sanctions against President Alexander Lukashenko's government for their human rights abuses and fraudulent elections.
Belarus,2020,June,Destabilizing Event,External influence or Invasion,Further reliance by President Alexander Lukashenko on Russian influence to maintain power has resulted in further democratic backsliding as repressions mount against political opponents.
Belarus,2020,August,Symptom,Repression of the opposition,"Protests against the fraudulent election were met with a harsh response from Belarusian security forces, including arbitrary mass detention, the use of live rounds, and tear gas."
Belarus,2020,August,Precursor,Electoral fraud and voter suppression,"The 2020 election was believed to have been fraudulent, with President Alexander Lukashenko allegedly winning a landslide victory against opposition candidate Sviatlana Tsikhanouskaya."
Belarus,2020,August,Resistance,Nonviolent protest,"A week after the election, opposition figures held a ""Freedom March"" which attracted an unprecedented crowd of 200,000 protestors."
Belarus,2020,August,Symptom,Media repression,Crackdowns on independent media and journalists have resulted in many journalists fleeing abroad and an overall increase in state control of media in Belarus.
Belarus,2020,August,Precursor,State-conducted violence or abuse,"The Lukashenko government responded to the protests with a massive and violent crackdown that included the use of live rounds, causing many casualties among the protestors."
Belarus,2020,August,Symptom,Curtailed civil liberties,"During the height of the 2020 protests, the internet was shut down to disrupt communications across Belarus in an attempt to repress the organization of protests."
Belarus,2020,August,Symptom,Forced/coerced exile,Sviatlana Tsikhanouskaya and Veronika Tsepkalo both fled to Belarus following the election under threat by Belarusian security forces.
Belarus,2020,September,Symptom,Repression of the opposition,"Mariya Kalesnikava, a leader of the opposition party, was arrested and imprisoned, a setback for the democratic opposition."
Belarus,2021,May,Symptom,Media repression,"Journalist and opposition figure Raman Pratasevich was detained when the plane he was travelling was forced down when flying through Belarusian airspace, leading to his arrest and probable torture."
Belarus,2021,May,Symptom,Media repression,Increasing laws against journalists are designed to make it easier to repress and punish journalists for reporting against the Lukashenko government.
Belarus,2021,July,Precursor,Increasing control over civil society,"Belarusian authorities cracked down on civil society an closed more than 270 nonprofits during this time, including the Belarusian Association of Journalists."
Belarus,2021,November,Symptom,Discrimination against minorities,"Belarus has herded 4,000 refugees to the Polish border in the hopes of triggering a crisis in the EU."
Belarus,2021,December,Symptom,Revision of the constitution,"President Alexander Lukashenko proposed constitutional changes that extended his rule, created a co-equal assembly to the parliament that held extraordinary powers, and extended parliamentary term limits. These functioned as a power grab to further cement his rule over Belarus."
Belarus,2021,December,Symptom,Creation of parallel structures,"President Alexander Lulashenko's proposed constitutional changes created a co-equal legislature dominated by his supporters called the ""All-Belarusian People's Congress"", holding powers that we're not given to the original parliament and thus delegitimizing it."
Belarus,2021,Unknown,Symptom,Discrimination against minorities,"State-sponsored programs fueled hatred towards minotiries including racial, ethnic, religious, and sexual minorities."
Belarus,2021,Unknown,Symptom,Media repression,"The Lukashenko government continued its crackdown on independent news, along with exercising censorship over independent media."
Belgium,2001,NA,Precursor,Extremist/populist parties,"The Vlaams Blok (VB), an anti-Semitic, far-right party, gained traction."
Belgium,2004,November,Resistance,Check on executive by judiciary,"Belgium's highest court ruled that the Flemish, far-right Vlaams Blok party is racist and xenophobic, even saying that non-European immigrants should be returned to their home countries. As a result of this ruling, the party lost access to state funding and television, forcing the party to shut down."
Belgium,2007,June,Precursor,Lack of legitimacy,"Because the Belgian election system does not have a national constituency, elections are run largely independently on both sides of the language border. Often, conflicting election outcomes are put together and negotiations then begin, which took 194 days after the 2007 elections, and result in the selection of representatives who may not have been on the ballot for part of the population."
Belgium,2007,August,Precursor,Polarization,Issues related to the ethnolinguistic divide prevented government formation.
Belgium,2007,NA,Precursor,Economic shocks and health shocks,There was an economic crisis that exacerbated the tensions between the rich Flanders region and the other two poorer regions in the country
Belgium,2008,December,Precursor,Vertical corruption,"Former Prime Minister Yves Leterme resigned after just nine months in office following accusations that his government attempted to influence an appeal court ruling that froze the breakup of Fortis, Belgium's largest bank."
Belgium,2008,Unknown,Precursor,Economic shocks and health shocks,"Despite the nation's largest bank, Fortis, receiving a $16.1 billion cash injection to curb economic damage as a result of the recession, the Dutch, Belgian, and Luxembourg governments were forced to carve up the bank after this failed to combat declining domestic and international investment, and the government saw its shares drop by over 90%."
Belgium,2010,April,Precursor,Lack of legitimacy,"Following the 2010 elections, Belgium didn't form a government for over a year and a half, creating massive political uncertainty."
Belgium,2010,April,Symptom,Discrimination against minorities,"The lower house of Belgium's Parliament approved a bill to ban wearing face veils in public, a move that seemed to largely target Muslim women."
Belgium,2010,April,Resistance,Pressure from outside actor,"Amnesty International and Human Rights Watch, two major international NGOs, both expressed their condemnation of Belgium's ban on face coverings, citing the violation of fundamental freedoms of religion and expression."
Belgium,2010,June,Precursor,Lack of legitimacy,Prime Minister Elio Di Rupo's government took a year and a half to form a government.
Belgium,2010,NA,Precursor,Extremist/populist parties,"The 2007 financial crisis severely effected the 2010 elections as it resulted in the rise of two new radical parties, the left-wing Belgian Workers' Party and the right-wing Popular Party"
Belgium,2011,NA,Precursor,Polarization,"After a period of stagnation that arose because it took 541 days for the Prime Minister to form a government, the northern Dutch-speaking region moved more towards the right while the southern French-speaking region moved towards the left"
Belgium,2012,NA,Symptom,Curtailed civil liberties,A Muslim woman was arrested for not exposing face from behind her hijab.
Belgium,2013,October,Precursor,Polarization,Divides along ethnolinguistic and political lines threatened the viability of a temporary government.
Belgium,2014,May,Precursor,Non-state violence,"Mehdi Nemmouche, a European man who fought in the ranks of Islamist militant factions in Syria's Civil War, was convicted of murder after shooting and killing four people in a Jewish museum in Brussels."
Belgium,2016,February,Symptom,Curtailed civil liberties,Human Rights Report discovered that there was excessive use of force by police in 25 out of 26 counterterrorism operations from February to September
Belgium,2016,March,Precursor,Non-state violence,The Islamic State claimed responsibility for two bomb attacks that killed at least 31 people and injured over 220 in a Brussels airport and a metro station.
Belgium,2016,March,Precursor,Non-state violence,The Brussels international airport and nearby metro station were targeted in terrorist attacks.
Belgium,2016,March,Symptom,Curtailed civil liberties,"Several counterterrorism regulations and laws following attacks in Brussels and Paris reduce the right to privacy, enable more raids by armed forces, restricts movement, and negatively affect other fundamental civil liberties of Belgian citizens."
Belgium,2016,October,Precursor,Non-state violence,Two police officers were stabbed in Brussels in what prosecutors labeled as a possible terrorist incident perpetrated by a man believed to be connected to jihadists who travelled to Syria to fight.
Belgium,2017,June,Precursor,Non-state violence,"Soldiers shot and killed a suspect armed with a small explosive at a Brussels train station, and right before the explosion, the man was allegedly very agitated and yelling about jihadists."
Belgium,2017,June,Precursor,Vertical corruption,Mayor of Burssels Yvan Mayeur resigned following an audit that revealed he had been receiving payments for more than two years to attend board meetings for an agency that never occurred.
Belgium,2018,February,Precursor,State-conducted violence or abuse,"Jozef Chovanec, a Slovakian man who was detained for being disruptive in a Belgian airport, was subjected to extensive police brutality, with officers forcefully restricting his movements and one even sitting on him. He later died after emergency officials took him to a hospital."
Belgium,2018,May,Precursor,Non-state violence,"Benjamin Herman, a Belgian national who was found to have been in contact with radicalized individuals, shot and killed two police officers and a bystander in the city of Liege, a took a woman hostage outside of a school."
Belgium,2018,December,Precursor,Lack of legitimacy,"After former Prime Minister Charles Michel's government collapsed due to inter-party tensions on migration, it took 592 days to form a central government, once again fostering political instability."
Belgium,2018,December,Symptom,No-confidence votes or decreased voter turnout,"The Prime Minister of Belgium, Charles Michel, resigned after a no-confidence vote that was in part a response to his support for migrants"
Belgium,2018,December,Symptom,No-confidence votes or decreased voter turnout,"After the N-VA party quit the majority coalition due to former Prime Minister Charles Michel's support of a UN migration pact, Michel was the head of minority government, and subsequently lost a no-confidence vote, leading to his resignation."
Belgium,2018,NA,Precursor,Extremist/populist parties,The conservative Flemish party gained more power by running on an anti-immigrant platform
Belgium,2019,May,Precursor,Extremist/populist parties,"The New Flemish Alliance (N-VA), a far-right nationalist party, won the highest proportion of votes in the election at 16%. Vlaams Belang, the new version of the Vlaams Blok party, saw significant success in the 2019 election as well, winning the nation's second highest vote share at 11.9%. Compared to the previous election, they raised their proportion of the vote by more than 8% in federal elections and 12% in Flemish Parliament elections."
Belgium,2019,September,Precursor,Vertical corruption,Belgian police began investigating former Foreign Minister Didier Reynders after he was accused of both money laundering and receiving bribes relating to construction projects.
Belgium,2019,NA,Resistance,Check on executive by legislature,The Minister of Equal Opportunity launched a campaign against racism and discrimination as a means to reduce polarization of the public and therefore the government
Belgium,2020,June,Precursor,State-conducted violence or abuse,"During BLM protests that took place in Brussels, the nation's capital, police used water cannons and riot gear to disperse the crowd."
Belgium,2020,June,Symptom,Media repression,"Several journalists were intimidated or assaulted by police when trying to capture footage/cover the BLM protests, including one journalist who was shoved into the bushes by a group of police officers who hit him several times in the head, and another who was maced by the police."
Belgium,2020,June,Symptom,Curtailed civil liberties,"Pierrette Herzberger-Fofana, a member of the European Parliament, filed a legal complaint against several Belgian police officers who brutally searched her after she used her mobile phone to record their alleged harassment of a group of Black youths. A few weeks after she testified to members of the European Parliament about this incident, she became the subject of a defamation claim."
Belgium,2020,June,Symptom,Discrimination against minorities,"The Belgian Constitutional Court upheld a ban on head coverings and other religious symbols in higher education, targeting Muslim woman in particular."
Belgium,2020,July,Resistance,Nonviolent protest,"Thousands gathered in Brussels to express their support for the BLM movement and to protest against racism, injustice, and police violence."
Belgium,2020,August,Resistance,Nonviolent protest,"Following the Constitutional Court's decision to uphold a ban on religious symbols, thousands organized in Brussels to protest against the decision."
Belgium,2020,Unknown,Resistance,Increase in civic capacity,"Under the newly-established petitioning system, any citizen collecting at least 25,000 signatures will be able to put a topic on the Chamber's agenda, as long as they have collected at least 14,500 signatures from Flanders, 8,000 from Walloon, and 2,500 from Brussels."
Belgium,2020,NA,Precursor,Delegitimizing or weakening judiciary,"The police were given much-increased powers, with little oversight, to perform raids and enforce security during counterterrorism operations"
Benin,2001,March,Precursor,Lack of legitimacy,The 2nd and 3rd place finishers in the first round of voting boycotted the second round due to fraud allegations levied against the incumbent President Mathieu Kerekou
Benin,2006,November,Precursor,Party weakness,"The absence of the two major political actors in the 2006 election crumbled the traditional party structure in Benin, leading to the formation of several small parties and unreliable alliances."
Benin,2009,NA,Precursor,Polarization,"President Yayi’s 2009 referendum on constitutional revisions, which addressed improvements to the bureaucracy and did not enhance presidential power, was postponed indefinitely due to resistance from the opposition."
Benin,2010,December,Symptom,Media repression,The High Authority for Audio-Visual Media and Communications (HAAC) warned journalists of consequences of “unfair coverage” and suspended a radio broadcast reporting Yayi’s alleged involvement in a financial scandal.
Benin,2011,March,Precursor,Electoral fraud and voter suppression,There was a massive voter purge which affected the opposition and accusations levied against the incumbent President Boni Yayi of vote buying
Benin,2011,November,Precursor,Party weakness,"A loss in the 2011 election caused division within the newly unified opposition, making way for the FCBE to win a majority once again in the next legislative elections."
Benin,2011,NA,Resistance,Pressure from outside actor,"An opposition coalition argued that a new electronic list neglected one million voters, and with backing from the United Nations and the African Union, successfully demanded the elections be postponed."
Benin,2013,July,Resistance,Nonviolent protest,"Many of Thomas Boni Yayi's attempts to even further consolidate his power, including a
push to amend the constitution to, among other things, allow himself to run for a third term in
mid-2013, were met with strong opposition from the citizenry in the form of protest."
Benin,2013,July,Resistance,Check on executive by legislature,"Many of Thomas Boni Yayi's attempts to even further consolidate his power, including a
push to amend the constitution to, among other things, allow himself to run for a third term in
mid-2013, were met with strong opposition from the National Assembly."
Benin,2013,November,Precursor,Lack of legitimacy,"corruption was fairly prevalent in Benin’s government, with 87% of citizens believing that at least some government officials were involved in corrupt practices."
Benin,2013,November,Precursor,Vertical corruption,"As of 2013, around 37% of voters had been offered a bribe by a political party in exchange for a vote at least once."
Benin,2013,December,Symptom,Curtailed civil liberties,"Six unions organize a protest march against the regionalist recruitments of the Finance Ministry; the government responds with targetted arrests, increased coercion, and violent police repression
"
Benin,2016,March,Precursor,Lack of legitimacy,Talon framed himself as the “true” Beninese candidate by attacking his opponent’s dual French nationality and publicly leveled numerous other personal attacks on both his opponents and his predecessor throughout the campaign.
Benin,2016,Unknown,Symptom,Media repression,"In 2016, not long after taking office, the Talon administration pushed through a digital
media law which restricted freedom of the press and criminalized speech offenses, allowing
Talon to jail journalists for speaking in opposition to his actions."
Benin,2017,June,Symptom,Media repression,"During this time period, the Court for the Suppression of Economic Crimes and Terrorism (CRIET) arbitrarily prosecutes at least 17 journalists and online activists for libel under the 2017 Digital Code
"
Benin,2017,June,Symptom,Media repression,"a new Digital Code is adopted by the government which restricts freedom of expression by criminalizing the publication of false information or “incitement to rebellion” on the Internet
"
Benin,2017,NA,Symptom,Curtailed civil liberties,"In 2017, two new laws were passed due to repeated strikes in the civil service of the country. The laws limited the duration of strikes to a maximum of ten days per year."
Benin,2018,February,Symptom,Reduction in judicial independence,"President Talon appoints his lawyer, Joseph Djogb?nou, as president of the Constitutional Court after the National Assembly refuses to adopt a series of constitutional amendments favorable to the president
"
Benin,2018,May,Symptom,Media repression,"La Nouvelle Tribune, a newspaper critical of President Guillaume Talon's regime, was ordered to suspend its operations indefinitely. The media regulator ordered the suspension for the publishing of content deemed “offensive, outrageous, and detrimental to the private life of the head of state"
Benin,2018,May,Precursor,Delegitimizing or weakening judiciary,"In 2018, Talon filled the constitutional court with members sympathetic to his values. This newly Talon-friendly court’s permissive attitude towards his policies would be instrumental in reshaping electoral codes to exclude opposition parties and candidates from competition in the 2021 election cycle."
Benin,2018,June,Symptom,Curtailed civil liberties,"The National Assembly adopts a new criminal code that makes it punishable by law to commit “any attack in the form of speech, writing, or artistic representation towards the symbols and values of the State, the nation, the Republic”
"
Benin,2018,July,Symptom,Curtailed civil liberties,"The Patrice Talon administration creates the Court for the Suppression of Economic Crimes and Terrorism (CSECT) and other anti-terrorism institutions, but it is quickly accused of using the new courts to target political opponents
"
Benin,2018,August,Symptom,Reduction in judicial independence,"President Patrice Talon created the Court for the Suppression of Economic Crimes and Terrorism to prosecute terrorism and economic crimes overseen by his former personal lawyer to jail his political opponent, Sebastian Ajavon."
Benin,2018,September,Symptom,Repression of the opposition,"The Constitutional Assembly, with the support of President Boni Yayi, adopts a new electoral code that introduced new, more strict rules for fielding candidates and raised the cost of registering, effectively excluding all opposition parties from running in parliamentary elections
"
Benin,2018,NA,Precursor,Horizontal corruption,"President Guillaume Talon appointed his personal lawyer, Joseph Djogbenou to be the head of the Constitutional Court"
Benin,2019,January,Symptom,Curtailed civil liberties,"A Constitutional Court ruling validates a law banning the right to strike for civil servants
"
Benin,2019,February,Symptom,Repression of the opposition,"A Constitutional Court ruling imits the participation of opposition parties in the legislative elections by requiring that they obtain certificates of conformity from the Interior Ministry
"
